Johnathan Abram,71,205,4.45,
Paul Adams,78,317,5.18,16
Nasir Adderley,72,206,9.99,
Azeez Al-Shaair,73,234,9.99,16
Otaro Alaka,75,239,4.82,20
Dakota Allen,73,232,4.77,23
Josh Allen,77,262,4.63,28
Zach Allen,76,281,5,24
Bryson Allen-Williams,73,236,4.88,14
Jeff Allison,71,228,4.82,12
Ugo Amadi,69,199,4.51,18
Rodney Anderson,72,224,9.99,25
J.J. Arcega-Whiteside,74,225,9.99,
Ryquell Armstead,71,220,4.45,22
Blessuan Austin,73,198,9.99,15
Jake Bailey,73,200,4.72,
Zack Bailey,77,299,9.99,24
Derrick Baity,74,197,9.99,10
Deandre Baker,71,193,4.52,14
Corey Ballentine,71,196,4.47,15
Ben Banogu,75,250,4.62,23
Alex Barnes,72,226,4.59,34
Alex Bars,78,312,9.99,
Cody Barton,74,237,4.64,30
Jackson Barton,79,310,5.18,25
Ryan Bates,76,306,5.09,28
John Battle,72,201,4.67,
Terry Beckner,76,296,5.19,28
Mike Bell,75,210,4.83,10
Beau Benzschawel,78,309,5.24,20
Marquise Blair,73,195,4.48,
Kendall Blanton,78,262,4.95,22
Nick Bosa,76,266,4.79,29
Kris Boyd,71,201,4.45,19
Miles Boykin,76,220,4.42,12
Garrett Bradbury,75,306,4.92,34
Tyre Brady,75,211,9.99,12
Jordan Brailford,75,252,4.65,22
Nick Brossette,71,209,4.72,15
A.J. Brown,72,226,4.49,19
Blace Brown,72,194,4.75,14
Jordan Brown,72,201,4.51,13
Keenen Brown,74,250,4.75,17
Marquise Brown,69,166,9.99,
Jake Browning,74,211,4.74,
Austin Bryant,76,271,9.99,
Isaiah Buggs,75,306,5.15,20
Sean Bunting,72,195,4.42,14
Brian Burns,77,249,4.53,
Ben Burr-Kirven,72,230,4.56,21
Devin Bush,71,234,4.43,21
Emmanuel Butler,75,217,9.99,11
Hakeem Butler,77,227,4.48,18
Yodny Cajuste,77,312,9.99,32
Shaq Calhoun,74,310,5.07,26
Parris Campbell,72,205,4.31,11
Malik Carney,74,251,4.73,25
Blake Cashman,73,237,4.5,18
Hamp Cheevers,69,169,4.52,8
Demarcus Christmas,75,294,5.08,22
L.J. Collier,74,283,4.91,25
John Cominsky,77,286,4.69,22
Te'Von Coney,73,234,9.99,
Ryan Connelly,74,242,4.66,
C.J. Conrad,76,249,9.99,
Byron Cowart,75,298,5.16,26
Jonathan Crawford,73,205,9.99,16
Xavier Crawford,71,187,4.48,11
Maxx Crosby,77,255,4.66,
Jamal Custis,76,214,4.5,
Dennis Daley,77,317,5.23,20
Davante Davis,74,202,4.57,14
Deshaun Davis,71,234,9.99,25
Felton Davis,75,211,9.99,21
Jamal Davis,75,243,4.6,19
Nate Davis,75,316,5.23,23
Ryan Davis,70,189,9.99,12
Jamel Dean,73,206,4.3,16
Michael Deiter,77,309,5.23,21
Lukas Denis,71,190,4.64,16
Andre Dillard,77,315,4.96,24
D'Cota Dixon,70,204,4.81,20
Johnnie Dixon,70,201,4.41,16
Tyrel Dodson,72,237,4.6,24
Greg Dortch,67,173,9.99,
